,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
156,physio,6,True,5,2,0.46285179257392883
157,physio,6,True,5,3,0.4748188853263855
158,physio,6,True,5,4,0.4484950006008148
159,physio,6,True,5,5,0.45146581530570984
160,physio,6,True,5,6,0.4445762038230896
161,physio,6,True,5,7,0.4557921588420868
162,physio,6,True,5,8,0.4427775740623474
163,physio,6,True,5,9,0.44779738783836365
164,physio,6,True,10,0,0.46622011065483093
165,physio,6,True,10,1,0.45290160179138184
166,physio,6,True,10,2,0.4741690754890442
167,physio,6,True,10,3,0.45759373903274536
168,physio,6,True,10,4,0.4591444134712219
169,physio,6,True,10,5,0.48559823632240295
170,physio,6,True,10,6,0.46838468313217163
171,physio,6,True,10,7,0.4557579457759857
172,physio,6,True,10,8,0.4623396396636963
173,physio,6,True,10,9,0.472444623708725
174,physio,6,True,20,0,0.45669713616371155
175,physio,6,True,20,1,0.45036131143569946
176,physio,6,True,20,2,0.44717445969581604
177,physio,6,True,20,3,0.4314687252044678
178,physio,6,True,20,4,0.4664069712162018
179,physio,6,True,20,5,0.45511946082115173
180,physio,6,True,20,6,0.47242090106010437
181,physio,6,True,20,7,0.4525901973247528
182,physio,6,True,20,8,0.4567100405693054
183,physio,6,True,20,9,0.4336782395839691
184,physio,6,True,30,0,0.43439367413520813
185,physio,6,True,30,1,0.42218372225761414
186,physio,6,True,30,2,0.4311961829662323
187,physio,6,True,30,3,0.4486039876937866
188,physio,6,True,30,4,0.42137205600738525
189,physio,6,True,30,5,0.42961373925209045
190,physio,6,True,30,6,0.44903287291526794
191,physio,6,True,30,7,0.4397605061531067
192,physio,6,True,30,8,0.4697948396205902
193,physio,6,True,30,9,0.43867117166519165
194,physio,6,True,50,0,0.44546476006507874
195,physio,6,True,50,1,0.4246753752231598
196,physio,6,True,50,2,0.44739046692848206
197,physio,6,True,50,3,0.4355918765068054
198,physio,6,True,50,4,0.42421218752861023
199,physio,6,True,50,5,0.4291073977947235
200,physio,6,True,50,6,0.4377053678035736
201,physio,6,True,50,7,0.43111780285835266
202,physio,6,True,50,8,0.43407517671585083
203,physio,6,True,50,9,0.44328662753105164
204,physio,6,False,NA,NA,0.2503640073065006
205,physio,7,True,5,0,0.43100351095199585
206,physio,7,True,5,1,0.46314820647239685
207,physio,7,True,5,2,0.42083826661109924
208,physio,7,True,5,3,0.4535866379737854
209,physio,7,True,5,4,0.44312870502471924
210,physio,7,True,5,5,0.45869264006614685
211,physio,7,True,5,6,0.44875743985176086
212,physio,7,True,5,7,0.42532068490982056
213,physio,7,True,5,8,0.4512924551963806
214,physio,7,True,5,9,0.46090200543403625
215,physio,7,True,10,0,0.42959776520729065
216,physio,7,True,10,1,0.42866140604019165
217,physio,7,True,10,2,0.4393962621688843
218,physio,7,True,10,3,0.4342424273490906
219,physio,7,True,10,4,0.447762668132782
220,physio,7,True,10,5,0.438405841588974
221,physio,7,True,10,6,0.4585893154144287
222,physio,7,True,10,7,0.42670491337776184
223,physio,7,True,10,8,0.4449452757835388
224,physio,7,True,10,9,0.4437914788722992
